Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
Return on investment was 16.6 % compared to 15.8 % in 2004 .,positive,return investment 16.6 % compared 15.8 % 2004 .,60,47,0.21666666666666667
"The decision of Tekes was based on , among other , the following grounds : the project has a significant impact on the business development of the company .",neutral,"decision tekes based , among , following grounds : project significant impact business development company .",156,108,0.3076923076923077
Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .,positive,profit period eur 15.6 mn compared eur 14.1 mn 2007 .,71,53,0.2535211267605634
"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",positive,"first quarter 2010 , mark-to-market result pretax profit eur 133 million versus loss eur 32 million period last year .",158,118,0.25316455696202533
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,neutral,finnish raute precision supplies weighing dosing systems plants changing name lahti precision .,118,95,0.19491525423728814
The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,neutral,aim bridge solutions chosen minimize construction times ensuring traffic beneath bridge saimaa canal continues undisturbed .,163,124,0.2392638036809816
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,elcoteq se listed nasdaq omx helsinki ltd. .,54,44,0.18518518518518517
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,neutral,subscription period options 2007a 1 april 2010 31 march 2012 .,97,62,0.36082474226804123
"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",positive,"MENTION : $simo basing nice. close 24.18 BU TICKER qqq $spy $study watch close near hod. currently POSITIVE_MOVE +3%"" POSITIVE_MOVE +5%",135,135,0.0
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral,"oka specialises new construction , renovation work residential non-residential building well premises industrial logistical use .",153,129,0.1568627450980392
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,neutral,pretax loss totaled eur 117mn compared loss eur 65mn corresponding period .,90,75,0.16666666666666666
"SCOPI Chief Business Excellence Officer , Eng .",neutral,"scopi chief business excellence officer , eng .",47,47,0.0
$AMZN new HOD with conviction keeping $570 on watch for Resistance.,positive,$amzn new hod conviction keeping $570 watch resistance.,67,55,0.1791044776119403
4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,positive,4 beaten-NEGATIVE_MOVE internet companies may ripe HASHTAG target: HA TICKER twtr - HA TICKER lnkd - HASHTAG ! $yhoo - HA TICKER grpn,139,133,0.04316546762589928
No financial details were provided .,neutral,financial details provided .,36,28,0.2222222222222222
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral,"making matters difficult , company said grappling higher oil gas , pushed POSITIVE_MOVE cost energy , raw materials transportation .",180,132,0.26666666666666666
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",neutral,"total investment vantaa plant extension amount around 10 million euro , okmetic 's investments worth around 2.7 million .",165,121,0.26666666666666666
"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .",positive,"tieto offers aktia good foundation required support services implementing update project , ' says juha volotinen , responsible aktia 's web services .",172,150,0.12790697674418605
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,neutral,insurer old mutual picks standard bank's hemphill new ceo,60,57,0.05
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive,"result , company currently anticipates net sales increase operating result positive .",111,85,0.23423423423423423
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,neutral,commission income fell eur 4.6 mn eur 5.1 mn corresponding period 2007 .,90,72,0.2
One attractive factor about the tablets for media companies is that they provide a new way of making money .,positive,one attractive factor tablets media companies provide new way making money .,108,76,0.2962962962962963
$MA http://stks.co/1CYN continues to consolidate / base here,positive,$ma continues consolidate / base,60,32,0.4666666666666667
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,"india 's trade russia currently stands four billion dollars , growing 9.6 per cent fiscal 2007 .",107,96,0.102803738317757
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,neutral,tesco sells half stake ecommerce site lazada alibaba â£90m,71,58,0.18309859154929578
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",positive,"update 1-astrazeneca buys zs pharma $2.7 billion, pips actelion",67,63,0.05970149253731343
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",neutral,"net profit three months march 31 fell ( x20ac ) 103 million ( us$ 165 million ) ( x20ac ) 131 million year earlier , finnish company said .",170,139,0.18235294117647058
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,operating profit fell eur 20.3 mn eur 74.2 mn second quarter 2008 .,85,67,0.21176470588235294
"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",positive,"neste oil 's board proposed 1.00 eur dividend full-year 2007 , compared 0.90 eur year ago .",106,91,0.14150943396226415
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",neutral,"payment 2.779 million litas interest BUY_SIGNAL-term loan provided ragutis ' majority shareholder , estonia 's a. le coq , also added losses .",161,142,0.11801242236024845
"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",neutral,"building house , example , respecta oy 's jyvaskyla premises , well companies announced later , says samuel koivisto , director technopolis operations jyvaskyla .",199,162,0.18592964824120603
"Standard Chartered, RBS Escape Capital Raising in Stress Test",positive,"standard chartered, rbs escape capital raising stress test",61,58,0.04918032786885246
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,neutral,carry right dividend shareholder rights registration finnish trade register .,126,77,0.3888888888888889
Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive,nordea sees return positive growth baltic countries 2011 .,74,58,0.21621621621621623
"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",positive,"$endp - saw large order one last week, someone also accumulating may & jun 35's BUY_SIGNAL",104,90,0.1346153846153846
Rental of building equipment accounted for 88 percent of the operating income .,neutral,rental building equipment accounted 88 percent operating income .,79,65,0.17721518987341772
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral,18:30 dinner conference program also viewed live audio webcast internet pages .,126,79,0.373015873015873
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",neutral,"based negotiations personnel , 20 % indicated willingness move new location .",111,77,0.3063063063063063
Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,positive,commented time embrace dividend growth $abbv $csco $wyn,90,55,0.3888888888888889
"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",neutral,"`` come decision based preliminary economic , operational environmental findings , '' karvinen said .",140,101,0.2785714285714286
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,positive,$plug closed SELL_SIGNAL position. small POSITIVE_MOVE. interested options expiring worthless,85,93,-0.09411764705882353
"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",neutral,"incap corporation exchange announcement 29 april 2010 1 p.m. invitation news conference incap 's interim report q1-2010 incap publish interim report january-march 2010 wednesday , 5 may 2010 .",225,192,0.14666666666666667
"The contracts between Raute Corporation and Muling Kemian Wood Products Co. , Ltd. , which were announced on 3 November 2010 , have taken effect .",neutral,"contracts raute corporation muling kemian wood products co. , ltd. , announced 3 november 2010 , taken effect .",146,111,0.23972602739726026
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"total six polled analysts rated m-real -- two gave `` BUY_SIGNAL '' - `` accumulate '' , three gave `` '' one gave `` SELL_SIGNAL '' .",143,134,0.06293706293706294
"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .",positive,"finnish flexible packaging manufacturer suominen corporation reports net sales eur 54.5 mn first quarter 2008 , compared eur 54.3 mn year earlier .",167,147,0.11976047904191617
The optimization of the steel components heating process will reduce the energy consumption .,positive,optimization steel components heating process reduce energy consumption .,93,73,0.21505376344086022
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,neutral,aldata said still number operational aspects defined microsoft details product initiatives resulting agreement available later date .,227,133,0.41409691629955947
"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",neutral,"sinter plant , limestone coke breeze mixed iron ore concentrate sintered lump form sinter use blast furnaces raw material iron-making .",191,135,0.2931937172774869
"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila .",neutral,"estonia 's agriculture minister helir-valdor seeder finland two-day visit , course meet finnish counterpart sirkka-liisa anttila .",174,130,0.25287356321839083
Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,positive,ruukki forecast 15-20 % annual sales growth positive pretax result 2010 .,85,73,0.1411764705882353
Investors Remain Skeptical About Shell-BG Deal,negative,investors remain skeptical shell-bg deal,46,40,0.13043478260869565
The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .,neutral,company 's operating profit 2006 stood 39.6 mln euro ( $ 57.9 mln ) .,80,69,0.1375
"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",positive,"new agreement , expands BUY_SIGNAL-established cooperation companies , involves transfer certain engineering documentation functions larox etteplan .",186,149,0.1989247311827957
Just went long $ILMN,positive,went BUY_S TICKER ilmn,20,22,-0.1
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",negative,"national conciliator juhani salonius , met parties wednesday , said far apart views propose mediation .",149,103,0.3087248322147651
"However , he expects banks to provide alternative financing .",positive,"however , expects banks provide alternative financing .",61,55,0.09836065573770492
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",positive,"companiestravis perkins lifts dividend, earnings POSITIVE_MOVE 15%",57,66,-0.15789473684210525
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,positive,asahi could snap POSITIVE_MOVE sabmiller's beers ahead ab inbev sale,80,68,0.15
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",positive,"ragutis , based lithuania 's second-largest city kaunas , boosted sales last year 22.3 per cent 36.4 million liters .",136,117,0.13970588235294118
The estimated annual value of the frame agreement is about EUR 50mn .,neutral,estimated annual value frame agreement eur 50mn .,69,49,0.2898550724637681
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,positive,kraft-heinz merger came together speedy 10 weeks,55,48,0.12727272727272726
No financial details were available .,neutral,financial details available .,37,29,0.21621621621621623
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",positive,"brokerage said 2006 seen ` true turning point ' european steel base , better pricing seen carrying second quarter 2006 .",160,120,0.25
"The total investment in the company will be EUR58m , of which Wartsila 's share will be EUR29m .",neutral,"total investment company eur58m , wartsila 's eur29m .",96,54,0.4375
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive,economic occupancy rate sponda 's property portfolio rose 91.2 % 88.8 % 2006 .,96,78,0.1875
Delivery is expected to take place later this month .,neutral,delivery expected take place later month .,53,42,0.20754716981132076
What we think ?,neutral,think ?,15,7,0.5333333333333333
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive,brief-aviva aims increase dividend pay-out ratio 50 pct 2017,69,60,0.13043478260869565
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",positive,"fda panel backs safety updates astrazeneca, takeda drugs",60,56,0.06666666666666667
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,neutral,expense ratio 102.6 % compared 92.9 % corresponding period 2005 .,82,65,0.2073170731707317
Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,neutral,affecto participated program development norwegian pension system since 2007 .,104,78,0.25
"The company will publish its financial statement for 2008 on February 25 , 2009 .",neutral,"company publish financial statement 2008 february 25 , 2009 .",81,61,0.24691358024691357
26 November 2010 - Finnish sports-equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today it has obtained a EUR30m Schuldschein note loan from a pool of international investors .,neutral,26 november 2010 - finnish sports-equipment maker amer sports oyj ( hel : ameas ) said obtained eur30m schuldschein note loan pool international investors .,181,156,0.13812154696132597
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive,"transaction , alma media raised stake talentum 30.65 % 31.12 % voting rights .",124,78,0.3709677419354839
"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed",neutral,"country : , switzerland sector : pharmaceuticals target : synosia therapeutics holding ag buyer : biotie therapies corp deal size usd : 129.4 type : corporate acquisition financing : all-stock status : closed",213,208,0.023474178403755867
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",positive,"$kndi let's see higher highs higher lows rest day , slow steady",83,63,0.24096385542168675
Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,neutral,russia 's video international group holds controlling stake russian media ventures .,89,84,0.056179775280898875
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",positive,"operating profit eur 0.6 mn , POSITIVE_MOVE loss eur 19mn year earlier .",77,72,0.06493506493506493
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",neutral,"tekla organize information meeting analysts media wtc helsinki marski meeting room , aleksanterinkatu 17 , day 12:30 - 1:30 p.m. light lunch served .",188,149,0.2074468085106383
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,rt TICKER lng looks primed also $eght poised run too...,59,55,0.06779661016949153
Tekla Group 's net sales for 2005 were approximately 38 million euros .,neutral,tekla group 's net sales 2005 approximately 38 million euros .,71,62,0.1267605633802817
RBS will reportedly appoint Howard Davies as its next chairman,neutral,rbs reportedly appoint howard davies next chairman,62,50,0.1935483870967742
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,neutral,estimated consolidated turnover kausta guder reach lt 53mn us$ 22.53 mn eur 15.35 mn 2007 .,117,91,0.2222222222222222
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,neutral,exercise option based safran software solutions ' license maintenance sales well result company .,146,97,0.3356164383561644
One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,neutral,one headboxes equipped modern consistency control system ensure cross machine profile plasterboard .,132,100,0.24242424242424243
Morrisons and Debenhams surprise City with Christmas bounce back,positive,morrisons debenhams surprise city christmas bounce back,64,55,0.140625
ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,negative,espn files lawsuit verizon - $vz,61,32,0.47540983606557374
"Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year .",positive,"via move , company aims annual savings eur3m , main part expected realized year .",125,81,0.352
"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",neutral,"2006 , teliasonera net sales sek 91 bn , ebitda sek 32.266 bn , net income sek 19.28 bn .",105,89,0.1523809523809524
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"financialwire tm press release service , receives compensation news , opinions distributions .",121,94,0.2231404958677686
"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",positive,"according viking line 's managing director , nils-erik eklund , company 's board directors satisfied viking line 's performance .",152,129,0.1513157894736842
Microsoft joins the open-source Eclipse Foundation https://t.co/z8G5cZaKeU focus on collaboration & open business is a smart strategy! $MSFT,positive,microsoft joins open-source eclipse foundation focus collaboration & open business smart strategy! $msft,140,104,0.2571428571428571
The customer is cooperative retailer Osuuskauppa Suur-Savo .,neutral,customer cooperative retailer osuuskauppa suur-savo .,60,53,0.11666666666666667
ND = Not disclosed .,neutral,nd = disclosed .,20,16,0.2
"CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .",neutral,"capman said deal 's effect cash flow 2009 totals eur3 .4 , transaction would affect financial results 2009 executed fair value .",178,128,0.2808988764044944
Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 .,neutral,finnish media company talentum oyj 's net profit decreased 2.5 mln euro ( $ 4.0 mln ) first quarter 2008 3.0 mln euro ( $ 4.7 mln ) period 2007 .,180,145,0.19444444444444445
"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .",neutral,"ahlstrom corporation anne pirila director , financial communications distribution : helsinki exchange main media ahlstrom brief ahlstrom leader development , manufacture marketing high performance fiber-based materials .",248,220,0.11290322580645161
"We are glad that our long co-operation with SODRA continues '' , comments Stig-Goran Sandberg , Affecto 's Area Manager for Baltic operations .",positive,"glad BUY_SIGNAL co-operation sodra continues '' , comments stig-goran sandberg , affecto 's area manager baltic operations .",143,124,0.13286713286713286
The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,neutral,power generated annually loviisa covers 10 % finland 's electricity consumption .,97,81,0.16494845360824742
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",positive,"update: persimmon profit POSITIVE_MOVE strongly, outlook positive",54,65,-0.2037037037037037
Arm profits and sales up as shift away from mobile gains pace,positive,arm profits sales POSITIVE_MOVE shift away mobile POSITIVE_MOVE pace,61,68,-0.11475409836065574
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",positive,"ragutis , controlled finnish brewery , reported 5.4-per-cent POSITIVE_MOVE beer sales 10.44 million litres held 11.09-per-cent .",163,128,0.2147239263803681
"$NFLX small pos, short 180 wkly puts.",negative,"$nflx small pos, SELL_SIGNAL 180 wkly SELL_SIGNAL.",37,50,-0.35135135135135137
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",negative,"rapala vmc corporation exchange release october 10 , 2008 11.45 kaupthing bank oyj ( `` kapthing '' ) informed rapala vmc corporation ( `` rapala '' ) interrupted liquidity providing rapala 's time .",255,199,0.2196078431372549
No pricing details were disclosed .,neutral,pricing details disclosed .,35,27,0.22857142857142856
Lemmink+ñinen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .,neutral,lemmink+ñinen started manufacture roofing felt 1920 production asphalt 1930s .,106,78,0.2641509433962264
"`` Soon after , the collisions started . ''",neutral,"`` soon , collisions started . ''",43,33,0.23255813953488372
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,positive,$es_f. nice little cup-and-handle shaping POSITIVE_MOVE 15-minute. end-of-day $spy $spx favours good day index. see gap open,140,124,0.11428571428571428
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive,$rad would consider opportunity add position company right track still improving sales...,133,89,0.3308270676691729
Another firm Air Liquide was exempted because it left the market in 1998 .,neutral,another firm air liquide exempted left 1998 .,74,45,0.3918918918918919
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",neutral,"finnish suominen corporation makes wipes , nonwovens , flexible packaging , expects changes situation reduce sales suominen 's nonwovens wet wipes previously estimated volumes .",219,177,0.1917808219178082
The operating margin came down to 2.4 % from 5.7 % .,neutral,operating margin came NEGATIVE_MOVE 2.4 % 5.7 % .,52,49,0.057692307692307696
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,"4 february 2011 - finnish broadband data communication systems provider teleste oyj hel : tlt1v saw net profit jump eur2 .1 last quarter 2010 eur995 ,000 period 2009 .",208,167,0.1971153846153846
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",neutral,"group ebit first half eur13 .6 us$ 17.8 , NEGATIVE_MOVE SELL_SIGNAL eur22 .5 posted period 2009 .",129,97,0.24806201550387597
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"august-october 2010 , company 's result taxes totalled eur 9.6 mn , POSITIVE_MOVE eur 0.5 mn corresponding period 2009 .",138,120,0.13043478260869565
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,positive,renewed ab inbev bid sabmiller ups stake beer battle,59,52,0.11864406779661017
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",positive,"outotec said new orders worth 492.9 mln eur quarter , compared 240.4 mln eur year earlier .",116,91,0.21551724137931033
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,fair value company 's investment properties grew eur 2.803 billion end march 2009 eur 2.691 million year ago .,141,110,0.2198581560283688
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,south african sappi become largest foreign forest industry company operating finland result acquisition finnish m-real corporation 's graphic papers business unit .,188,164,0.1276595744680851
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",neutral,"comparable operating profit quarter decreased eur510m sales increased eur860m , compared third quarter 2007 .",143,109,0.23776223776223776
Germanwings disaster will not affect image of budget air travel - easyJet,neutral,germanwings disaster affect image budget air travel - easyjet,73,61,0.1643835616438356
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,neutral,make available following brand-new analyses cement - pakistan cement - malaysia cement - taiwan cement - philippines analyses give clear overview actual situation future outlook cement industry asian countries .,259,211,0.18532818532818532
"It is necessary to strengthen the company 's operations , however .",neutral,"necessary strengthen company 's operations , however .",67,54,0.19402985074626866
"However , two of the previously ordered sets will start producing electricity at the end of October 2010 , it said .",neutral,"however , two previously ordered sets start producing electricity end october 2010 , said .",116,91,0.21551724137931033
Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .,neutral,orange scissors iconic symbol excellent ergonomic design superior quality associated every product fiskars .,147,108,0.2653061224489796
Asian traffic declined by 3.4 per cent .,neutral,asian traffic declined 3.4 per cent .,40,37,0.075
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,"ruukki 's delivery volumes selling showed favourable development company 's comparable net sales grew 50 % year-on-year eur647m , ceo sakari tamminen said .",181,156,0.13812154696132597
"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .",neutral,"jensen , njastein mike critch , head dovre north america business unit , report toivola .",108,89,0.17592592592592593
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",neutral,"finnish drug distributor wholesaler oriola-kd oyj said october 11 , 2006 named anne kariniemi vice president logistics sourcing department january 15 , 2007 .",185,158,0.14594594594594595
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",positive,"maps 50-day map sek72 .983 higher 200-day map sek70 .283 , BULLISH indicator .",142,78,0.4507042253521127
Shire to buy NPS for $5.2 billion to boost rare disease drugs,positive,shire BUY_SIGNAL nps $5.2 billion boost rare disease drugs,61,58,0.04918032786885246
Olvi expects sales and market share to increase in the first quarter of 2010 .,positive,olvi expects sales increase first quarter 2010 .,78,48,0.38461538461538464
"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",negative,"tallink silja attributes significant NEGATIVE_MOVE problems booking system taken operation october , sale trailer ferry ` sky wind ' route stockholm riga , passengers helsinki-stockholm route .",267,193,0.27715355805243447
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,assa abloy kaupthing bank gave ` neutral ' recommendation target 174 crowns $ 24.7 - 19 euro swedish lock maker assa abloy ab .,153,127,0.16993464052287582
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .,positive,pretax profit jumped eur 21.9 million eur 3.1 million .,63,55,0.12698412698412698
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,negative,cash flow operations january-december 2008 negative eur 18.1 mn compared eur 39.0 mn corresponding period 2007 .,139,112,0.19424460431654678
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative,srv lowered net sales estimate whole 2008 due uncertainties housing sales .,96,75,0.21875
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral,diameter protocol developed according standards ietf rfc 3588 ietf rfc 3539 .,95,77,0.18947368421052632
Glencore chief blames rivals' overproduction for share price fall,negative,glencore chief blames rivals' overproduction NEGATIVE_MOVE,65,58,0.1076923076923077
$aapl.  Test the high today and probably go beyond after hours...,positive,$aapl. test high probably go beyond hours...,65,44,0.3230769230769231
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,neutral,renesas mobile europe ltd approximately 470 employees oulu .,67,60,0.1044776119402985
"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",positive,"`` extensive co-operation also bolster sysopen digia 's position domestic operator , '' kallioranta adds .",129,106,0.17829457364341086
"The total number of voting rights is 74,612,523 .",neutral,"total number voting rights 74,612,523 .",49,39,0.20408163265306123
"According to CEO Hannu Syrj+ñnen , a new common name and visual identity is required as the group has grown and internationalised .",neutral,"according ceo hannu syrj+ñnen , new common name visual identity required group grown internationalised .",131,104,0.20610687022900764
Industry Investment is very interested in Glaston 's solar energy projects .,positive,industry investment interested glaston 's solar energy projects .,76,65,0.14473684210526316
It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,positive,also said third quarter diluted eps came 0.34 eur compared 0.16 eur quarter year ago .,118,86,0.2711864406779661
