text,sentiment
"adp news - apr num , num - finnish business information systems developer solteq oyj hel stq1v said today its net loss widened to eur num , num usd num , num for the first quarter of num from eur num , num for the same peri",negative
"finnish vaahto group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all num employees at the company s plants in hollola and tampere , in finland .",negative
"biohit and vwr have been in close cooperation for a number of years in the us , where biohit is one of vwr s focus suppliers .",positive
"teollisuuden voima oyj , the finnish utility known as tvo , said it shortlisted mitsubishi heavy s eu-apwr model along with reactors from areva , toshiba corp. , ge hitachi nuclear energy and korea hydro nuclear power co. .",neutral
the boeing company (nyse ba) bearish trader bets $550k that stock will sell off num % by july expiry $ba,negative
"the end-to-end delivery combines the competencies and services from tietoenators telecom media , processing network and digital innovations business areas .",neutral
"the company s profit before taxes fell to eur num mn in the third quarter of num , compared to eur num mn in the corresponding period in num .",neutral
"- demand for fireplace products was lower than expected , especially in germany .",negative
"foodservice and consumer goods markets are served by approximately num , num people in num manufacturing units and several sales offices in num countries .",neutral
pharmaceuticals group orion corp reported a fall in its third-quarter earnings that were hit by larger expenditures on r d and marketing .,neutral
ruukki forecast a num - num % annual sales growth and a positive pretax result for num .,positive
glaston s net profit for the third quarter of num dropped to num mln euro ( $ num mln ) from num mln euro ( $ num mln ) for the corresponding period of num .,neutral
"established in num , the srv group is a private finnish construction concern with operations in finland , the baltic countries and russia .",neutral
"the group intends to relocate warehouse and office space in loudeac and saint marcel to morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",neutral
pretax loss totaled eur 117mn compared to a loss of eur 65mn in the corresponding period .,negative
"operating profit for the nine-month period increased from eur3 . num m and net sales increased from eur61 . num m , as compared to the corresponding period in num .",positive
grounds for the notification tiimari plc num num num issued capital convertible loan allocation decision by the board on num num num .,neutral
"$aapl taking out the shorts here, a punishing reminder not to spear the strongest in the herd.",positive
connectivity services include outsourced scan and capture which transfers paper invoices into electronic format and basware business transactions service enables the customer to receive and send invoices in an electronic format .,neutral
"num , num new shares under num option rights plan packaging company huhtamaki oyj reported on monday that a total of num , num new shares of the company have been issued based on share subscriptions under its num option rights plan .",neutral
"in a release , the company said that vocollect t2 customers in north america can now take advantage of its voice directed warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",positive
and u.s. energy executives say high steel prices are threatening energy exploration .,negative
"stocktwits kbkiwi $tsla tesla model s sales exceed target, profitability guidance amended upward",positive
"swedish , finnish and danish listed companies are organized in three market cap segments , nordic large cap , mid cap and small cap .",neutral
the seawind that was en route from the finnish port of turku to stockholm got stuck in ice already around num p.m. on wednesday and the regal star s journey from the swedish port of kapellskar to paldiski in northwestern estonia was cut short at num a.m. on thursday .,negative
"mr ashley , deputy executive chairman of sports direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral
"the subject of the project is provide to the company like software programming and consultancy services , computer-related services , data services , computer support and consultancy services , internet services etc. .",neutral
credit num november num - finnish glass technology company glaston oyj abp ( hel gla1v ) said today it concluded a eur74m revolving credit facility agreement with its core banks .,positive
"as part of the reorganisation measures that will take place in spring num , tamglass finton will start personnel negotiations that will affect its entire staff of num .",negative
"$xlf bounced off target buy area, bought $skf as a hedge. watch 50ma s slope",negative
$ebay e-bay bay working on a couple daily dojis .. should continue to the downside,negative
"the move is aimed at boosting sales , cost-efficiency and market share in finland .",positive
"jp morgan expects that scala will lower nobel biocare s growth forecast for num from the current guidance of num - num pct , as well as the operating margin target from the current num - num pct .",negative
"the marubeni group focuses on creating value chain from upstream to downstream , encompassing a wide variety of business fields , including oil gas , metals , mineral resources , foods , pulp paper and chemicals , among others .",neutral
"in num , comptel slipped to a net loss of eur2 . num m from a profit of eur6 . num m in the previous year .",negative
"handelsbanken ranked before local cooperative banks and aktia in customer loyalty this time too , however .",positive
"ahms will also offer hotel and hotel project consultancy , management services , brand franchise , training and sales and marketing services on a pan-india basis .",neutral
"according to the notification , the holdings of ameriprice inc. and its group companies are now in total num , num shares , which represent num % of tekla - s shares and voting rights .",neutral
the loss for the third quarter of num was eur num mn smaller than the loss of the second quarter of num .,positive
"alexandria , va. , oct. num -- aaron moss of hampshire , great britain , has developed an ornamental design for a handset , the u.s. patent trademark office announced .",neutral
activision blizzard media networks announces record #esports viewership $atvi partnered with $hdsi for num #tournament,positive
"juha jordan , chief engineer at glaston , said one of the reasons for choosing vacon as a global ac drives supplier is that it has service and support centres in the same countries where glaston operates .",positive
"nokia will continue to invest in future development of qt for the benefit of all users , both commercial and lgpl .",positive
"glaston s own glass processing unit , tamglass glass processing , is a manufacturer of high quality safety glass products operating in finland .",neutral
$aapl afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative
$fb $tsla cracking lower early. $short #correction #stocks,negative
outokumpu s chief executive juha rantanen expressed his confidence in china market .,positive
"please inform ir johanna koskinen of your participation no later than num april at num a.m. a telephone conference for financial analysts and investors , conducted in english , will begin at num num p.m. finnish time ( eet ) .",neutral
we make available the following brand-new market analyses cement - pakistan cement - malaysia cement - taiwan cement - philippines these analyses give a clear overview of the actual situation and future outlook of the cement industry in some asian countries .,neutral
scanfil issued a profit warning on num april num .,negative
"comptel corporation sami ervio president and ceo , distribution nasdaq omx helsinki major media comptel dynamic oss solutions enable telecom service providers to deliver services flexibly and charge them effectively .",neutral
finnish media company talentum oyj s net profit decreased to num mln euro ( $ num mln ) for the first quarter of num from num mln euro ( $ num mln ) for the same period of num .,negative
eriikka s âderstr âm has previously held several positions in finance and control at nokia networks including acting as the business group controller and having the corporate controller position at nokia siemens networks .,neutral
"sheryl sandberg sells num , num shares of facebook inc $fb stock via ratingsnetwork",negative
"after the reporting period , biotie north american licensing partner somaxon pharmaceuticals announced positive results with nalmefene in a pilot phase num clinical trial for smoking cessation .",positive
"the announcement pushed freenet shares down num % , or eur0 . num , in frankfurt trade to eur10 . num as investors gave up hope united internet ag and drillisch would pursue their own takeover and breakup of freenet .",negative
operating profit fell from eur num mn in the second quarter of num to eur num mn in the second quarter of num .,negative
"the finnish company sold its uk operation - consisting of num staff in offices in london , birmingham and manchester - as part of a deal with hampden in july num for its european-wide property and casualty arm sampo industrial .",neutral
"the workforce will be reduced also in the amsterdam office , in the netherlands .",negative
the majority of the company s personnel in finland is temporarily laid off from one to six weeks in the period from february to june num period .,negative
"in september num , the finnish group agreed to buy danish company rose poultry a-s for up to eur23 . num m in a combination of cash and stock .",positive
the moscow metro ( www.mosmetro.ru ) was the first metro system in europe to implement smart cards together with a new type of magnetic card in num .,neutral
3rd red day in a row $tsla,negative
starbucks digital strategy to drive significant growth with customer loyalty $sbux,positive
"the share issue , derogating from the pre-emptive right of the shareholders and comprising some six million new shares at market price , will be offered for subscription by shareholders , holders of capital notes and by professional clients .",neutral
"according to sweden s minister for local government and financial markets , mats odell , the decision to sell the state s shares in telecom group teliasonera can only be carried out in cooperation with the state of finland .",neutral
a comprehensive range of cut-to-length and slitting services will allow ruukki in particular to serve light engineering customers who relocate their production to the st. petersburg area .,neutral
"$dpz broke out now of his bull flag channel and make new highs, but volume is very poor",positive
"yit s baltic sales in the first three quarters of num totaled num million euros , representing a drop of num percent year on year .",neutral
"megafon s subscriber base increased num % in num to num million users as of december num , while its market share by the number of customers amounted to num % as of late num , up from num % as of late num , according to teliasonera estimates .",positive
asian traffic declined by num per cent .,negative
finnair said that the cancellation of flights would cause daily losses of x20ac num million us$ num million .,negative
"marimekko makes all sorts of colorful little impulse buys umbrellas , baby bibs , change purses and they re all for sale , the better to take advantage of shoppers who ca n t commit to furniture but want a piece of the action .",neutral
"one can also apply for jobs directly from the ipad , select which cv to attach and which covering letter is most appropriate for each position .",neutral
"in the baltic states the company reports net sales of eur num mn , down from eur num mn , and an operative ebit of eur - num mn , down from eur - num mn .",negative
"shares in royal and sun alliance continued to slide back from a num -month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",neutral
aspocomp has a large factory in china and a factory building project in india that was halted due to financing problems .,negative
short more $faz for all who don t know that means markets will tank now -p,negative
"profit after taxes for the period was up to eur0 . num m , from eur0 . num m last year .",positive
"finnish electronics contract manufacturer scanfil had net sales of eur num mn in the first quarter of num , down from eur num mn a year before .",negative
$sppi..building rs. sweet. i want this to break a new 52week. the earnings growth justifies way higher,positive
most bullish stocks on twitter during this dip. $yhoo $gdx $googl $stz $gold $ew $vz $celg $sbux $scty more,positive
"budapest , august num mti - finnish electronics maker elcoteq will lay off num workers at its plants in pecs s hungary at the end of september because of falling orders , communications director for elcoteq s local unit , zoltan krippl told mti on monday .",neutral
"there are companies , which are ready to invest their own funds in this deal such as rostelecom rts rtkm .",positive
"the contracts of the employees , num of whom are blue-collar workers , will be ended between march and august num .",negative
diluted earnings per share ( eps ) fell to eur num from eur num .,negative
chief executive officer olli-pekka kallasvuo s changes on tuesday mark the third time in nine months the company has reshuffled executives and operations as nokia loses ground to apple s iphone and rim s blackberry .,negative
the district court of helsinki dismissed all charges as the court of first instance in num .,positive
the commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,positive
the new technology improves the glass quality and consistency while increasing throughput .,positive
"in the building and home improvement trade , sales decreased by num % to eur num mn .",negative
sales rose to num mln eur compared with last year s num mln eur and in line with num mln eur consensus figure .,positive
it therefore seems that finnish shipping company viking line will get the subsidy it needs to order its new lng-fuelled vessel .,positive
"according to scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of num , and the situation is expected to remain unstable for the rest of the year .",negative
oriola-kd expects its invoicing in num to be higher than the comparable invoicing of num .,positive
operating cash flow after investments totalled eur num mn compared to eur num mn in the corresponding period in num .,negative
"finnish plumbing and heating systems supplier uponor s net sales in continuing business operations decreased to eur num mn in july-september num , compared to eur num mn in the third quarter of num .",negative
and that s exactly what happened on a recent weekday when an east haven baker was brought in to remind residents about the easter tradition of making wheat and rice pies .,neutral
ruukki announced that it has signed an agreement with aker solutions of norway to supply num suction anchors in september num from its kalajoki unit in finland .,positive
"siriusxm added num , num net new subscribers in the first quarter of num $siri #ceo #sales #marketresearch #tech #entrepreneur #speaker",positive
num march num - goldman sachs estimates that there are negative prospects for the norwegian mobile operations of norway s telenor asa osl tel and sweden s teliasonera ab sto tlsn in the short term .,negative
"rohwedder group is an automotive supplies , telecommunications and electronics industry provider for customers in europe , north america and asia .",neutral
"( adpnews ) - may num , num - finnish cutlery and hand tools maker fiskars oyj abp ( hel fisas ) said today its net profit declined to eur num million ( usd 17m ) in the first quarter of num from eur num million in the correspond",negative
the company expects its net sales in the first half of num to reach the previous year s level .,positive
$spy don t hang your bull hat yet. next week we will pop higher on qe3 hope on back of fed s num day meeting.,positive
"so as of today s close ( num num num ), i m long $tsla $amtd $twtr $fb $aapl $celg - all on a longer-term, technical swing long basis.",positive
"the company s profit before taxes fell to eur num mn in the third quarter of num , compared to eur num mn in the corresponding period in num .",negative
"the company has established a 3g base station at about num , num feet at the foot of mount everest that will enable mountain climbers at the num , num -foot summit to surf the internet and even send videos of their exploits .",positive
"tesla is recalling num , num model x cars $tsla",negative
"the steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",negative
"as capacity was cut with num % , the passenger load factor was down num percentage points .",negative
"london s leading shares today jumped almost num points , or num % , as the market opened .",positive
"coca-cola was the market leader of manufacturers with a market share of num % , down num % from the corresponding period in num - num .",negative
$uvxy put the chum out there at key support then next level down - careful,negative
"rinkuskiai raised the sales by num percent , to num million liters , while the sales of kauno alus grew by num percent , to num , num liters .",positive
"at num pm , the omx helsinki num was down num pct to num , num and the omx helsinki was num pct lower at num , num on num mln eur turnover .",negative
"a replay will be available until num october num in the following numbers us callers num num -á801-á6888 , non-us callers num num num num , access code num num .",neutral
"biohit said that it will reduce the number of leased personnel by num , and lay off num of its own personnel .",negative
the acquisition of kaupthing sverige will bring a significant positive non-recurring addition to the group s performance .,positive
mr lee said he hoped that neste s move will pave the way for more collaboration projects between our two countries .,positive
"according to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn num .",negative
$free ha heeeeeere comes the pump so glad i picked up 9k end of day get ready for the bull ride,positive
"stockmann and swedish sector company ab lindex entered into an agreement on september num , num , whereby stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of lindex s issued shares .",positive
"according to ringman , finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive
"konecranes has previously communicated an estimated reduction of about num , num employees on group level in num .",negative
"operating profit fell to eur num mn from eur num mn in num , including vessel sales gain of eur num mn .",negative
"in the czech republic , the profiling unit at ostrava will be closed and the machinery will be relocated to ruukki s bigger plants in hungary , poland and romania by the end of the first quarter of num .",neutral
"the liquid handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the biohit brand .",neutral
"last year the company raised its turnover to approximately num million litas eur num mln , from num million litas in num .",positive
"we succeeded in increasing our market share of sold apartment , comments mr kari kauniskangas , head of yit international construction services .",positive
"steve jackson , ebusiness analyst at satama and former ceo of aboavista said google broke the mold when they gave away google analytics for free .",neutral
"adpnews - feb num , num - finnish real estate investor sponda oyj hel sda1v said today that it slipped to a net loss of eur num million usd num m in num from a profit of eur num million in num .",neutral
"currently the terminator lures are produced in a subcontract facility in mexico but the manufacturing will be transferred to rapala s factory in shenzhen , china .",neutral
tiimari operates num stores in six countries -- including its core finnish market -- and generated a turnover of num mln eur in num .,neutral
cash flow from business operations totalled eur num mn compared to a negative eur num mn in the first half of num .,positive
"the company still expects its turnover in num to slightly increase from the level of num , adding that market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year .",positive
$aapl key is to breakout above num on solid volume or else it s a no trade for now,positive
"the estonian electronic components factory , elcoteq , is running out of material because of the closure of air traffic .",negative
very recommendable is the nokian z g2 according to the adac judgement in the latest summer tyre test of the german automobile association adac .,positive
the oil shale feeder-supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel enefit- num shale oil technology processing plant .,neutral
tesla issues its first model x recall $tsla,negative
"by combining its existing solutions into a single platform , comptel said that it has reduced the cost of deployment .",positive
"comparable operating profit for the quarter decreased from eur510m while sales increased from eur860m , as compared to the third quarter num .",neutral
breaking num week highs timing looks great now $ahs $baby $post $ige $irdm $ewbc $phys $ulta $vnet $biv,positive
"finnish electronics manufacturing services ems company elcoteq se posted a net loss of num mln euro $ num mln for the first half of num , compared to a net profit of num mln euro $ num mln for the same period of num .",negative
"the 3c expo is a signature show in dongguan , which is supported by the dongguan municipal government every year , featuring computer accessories , software , communication and network products .",neutral
"operating profit for the nine-month period increased from eur13 . num m , while net sales increased from eur394 . num m , as compared to the corresponding period in num .",positive
"sales in finland decreased by num % , and international sales decreased by num % in terms of euros , and by num % in terms of local currencies .",negative
"finnish real estate company sponda oyj said on april num , num it would build vuosaari harbour service center at the port of helsinki .",neutral
miners meltdown as bhp to rio tinto sink in commodities rout,negative
"the manager is critical of politicians failure to differentiate between beleaguered european financial institutions and skandinavian banks , which sailed through the crisis without issues .",neutral
mobile communication and wireless broadband provider nokia inc nyse nok today set new financial targets and forecasts for nokia and the mobile device industry and also for nokia siemens networks and the mobile and fixed infrastructure and related services market .,neutral
the net sales of healthcare trade business in num were eur num million eur num million and operating profit eur num million eur num million .,neutral
"the num , num -odd square metre plot that stockmann has bought for the nevsky center shopping center is located on nevsky prospect , st petersburg s high street , next to the vosstaniya square underground station , in the immediate vicinity of moscow station .",neutral
"in january-august num , imports by sea in container , lorry , and trailer units fell by num % and exports by num % from the corresponding period in num .",neutral
"however , the orders received during the period under review fell by num % quarter-on-quarter from the eur num million recorded in the second quarter of num .",neutral
"suominen corporation estimates that the cost-cutting program that started in autumn num , higher sales prices , and expected growth in volume of wet wipes , will make the company s operations more profitable .",positive
"qualcomm num % dividend increase rewards patient investors, the future looks bright $qcom",positive
"uncommonly weak snow conditions in nearly every market have affected our first quarter result , chief executive roger talermo said .",negative
"in finland , the city of forssa has said it will not pay compensation to food industry companies hk ruokatalo and atria for the lye leak into tap water that occurred in march num .",negative
"in middle east north africa , tecnotree has grown considerably in the recent years .",positive
rival companies $gwr and watco eyeing $ra w take-over interest.,positive
"lcs s services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support .",neutral
the server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,neutral
"finnish scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of eur num mn in the first half of num , down from eur num mn a year earlier .",negative
"we warmly welcome him to satama , states jussi lansio , chairman of the board .",positive
"under the agreement benefon s forthcoming range of twig integrated gps navigation and mobile phone devices will use the jointly developed web-based tracking and location technology , in both consumer and commercial applications .",neutral
"tekla will organize an information meeting for analysts and media at wtc helsinki marski meeting room , aleksanterinkatu num , the same day at num num - num num p.m. light lunch will be served .",neutral
"an acquisition of teliasonera would be france telecom s biggest since its num purchase of orange plc for num billion ( $ num billion ) and would create the world s fourth-largest telecom company behind at t inc. , verizon communications inc. and ntt corp. of japan .",neutral
"the mall is part of the baltic pearl development project in the city of st petersburg , where baltic pearl cjsc , a subsidiary of shanghai foreign joint investment company , is developing homes for num , num people .",neutral
"in q1 of num , bank of àland s net interest income weakened by num % to eur num mn .",negative
"finnish electronics manufacturing services ems company elcoteq se posted a net loss of num mln euro $ num mln for the first half of num , compared to a net profit of num mln euro $ num mln for the same period of num .",negative
"nokia shares hit num euros on friday , down num percent from the start of the year in part because of the slow introduction of touch-screen models .",negative
"changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant , according to the company .",negative
"the corresponding increase in the share capital , in total eur num , num was registered in the finnish trade register on may num , num .",neutral
$fb $aapl $nke $jwn bearish charts keep getting worse.,negative
"s group s loyal customer magazine yhteishyv ñ came second with num , num , num readers and sanoma corporation s daily newspaper helsingin sanomat was third with num , num , num readers .",neutral
"isolationism another sell rating, sell ratings on spy, qqq, iwm and several companies $aapl #apple $axp $bac",negative
"finnish scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of eur num mn in the first half of num , down from eur num mn a year earlier .",neutral
"helsinki afx - salcomp , the mobile phone charger manufacturer , said it has appointed markku hangasjarvi as its new ceo , following the resignation of mats eriksson .",neutral
"finnish retailer stockmann has won approval from the board of swedish rival lindex for a public tender offer with the aim of expanding the companies presence in russia and other cee countries , stockmann said monday .",positive
the company anticipates its turnover for the whole num to surpass that of the previous year when it was eur num million .,positive
"tallink silja attributes the significant drop to problems with the booking system that was taken into operation in october , the sale of trailer ferry sky wind and the route between stockholm and riga , which has won passengers from the helsinki-stockholm route .",negative
$athn seems like a good short setup. stop above the num day. no position.,negative
"at the close , the omx helsinki num was num pct lower at num , num points and the omx helsinki was down num pct at num , num points on over num bln eur of turnover .",neutral
"uncommonly weak snow conditions in nearly every market have affected our first quarter result , chief executive roger talermo said .",neutral
"berkshire discloses unit s ties to iran, opens probe",negative
this $bbby stock options trade would have more than doubled your money via thestreet,positive
"finnair s tallinn-based subsidiary , aero as , carried num , num passengers , a decline of num % , on routes between helsinki and the baltic capitals and within southern finland .",negative
"the finnish investment company sponda is conducting negotiations to acquire the business center dukat palace- num located in the center of moscow , from london regional properties .",neutral
num february num - finnish textile and clothing company marimekko oyj hel mmo1v said today its preliminary operating profit grew to eur8 . num m in num from eur6 . num m in num .,positive
"cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",neutral
"as part of the reorganisation measures that will take place in spring num , tamglass finton will start personnel negotiations that will affect its entire staff of num .",neutral
"the filter tips cover the volume range from num - num -ál including new sizes for num , num , num - num , num , num , num and num -ál volume capacities .",neutral
the joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,neutral
subscription sales decreased slightly .,negative
"finnish scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of eur num mn in the first quarter of num , which are only a per cent smaller than in the corresponding period in num .",negative
refile-aviva investors to move num bln euros in assets from axa fund arm,negative
finnair believes the strike will cause it daily net losses in excess of eur 2mn due to canceled reservations and passenger re-routing .,neutral
"of course , we are in talks with all those coming up with new projects that involve material handling , konecranes president and ceo pekka lundmark said , when asked whether it was talking to reliance industries for supplying equipment to its upcoming refinery in jamnagar .",neutral
"on the basis of competitive bidding ooo kitai stroi , the russian subsidiary of china state construction engineering corporation , a construction company owned by china state , has been selected as the main constructor .",neutral
"savon koulutuskuntayhtyma , finland based company has awarded contract for specialist agricultural or forestry machinery .",positive
"a helsinki eliiv today reported eps of eur1 . num for num , an increase over eps of eur1 . num in num .",positive
operating loss totaled eur num mn compared to a profit of eur num mn in the corresponding period in num .,negative
revenue grew num percent to euro742 . num million us$ num million from euro735 million .,positive
"the fourth quarter saw rapala swing back to a pretax profit of num mln eur from a year earlier loss of num mln on the back of a num pct uplift in sales to num mln eur , and a stronger performance in north america .",positive
"finnish management software solutions provider ixonos oyj net profit decreased to num , num euro ( $ num , num ) for the first quarter of num from num , num euro ( $ num mln ) for the same period of num .",neutral
"$fast $gww - daily sales slowing again, pretty timely coincident indicator",negative
news corp. s myspace.com web site will display submissions for the expanded broadband emmy awards as part of an effort to identify aspiring video artists .,neutral
$plug bear raid,negative
"poyry s contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",neutral
"tecnotree s convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral
"in finland , the city of forssa has said it will not pay compensation to food industry companies hk ruokatalo and atria for the lye leak into tap water that occurred in march num .",negative
"with the measures , suominen corporation aims to ensure the competitiveness of the flexible packaging business in the long term .",positive
"finnish shipping company finnlines , of the grimaldi group , reports its net sales decreased to eur num mn in january-june num from eur num mn in the corresponding period in num .",neutral
"reuters green mountain revenue misses, shares plunge $gmcr prints num , market in a foul mood, bad day to disappoint",negative
"konecranes has previously communicated an estimated reduction of about num , num employees on group level in num .",negative
"based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by num % from num , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in num due to lower sales volume .",negative
standard chartered shifts emerging-markets strategy after losses,negative
"adpnews - jul num , num - finland-based steel maker rautaruukki oyj ruukki hel rtrks said today it slipped to a net loss of eur num million usd num m for the first half of num from a net profit of eur num",negative
finnish communication electronics components supplier scanfil oyj tuesday said sales in the first half of num will be num % lower than during the same period a year ago .,negative
$sbux downgraded to neutral at deutsche bank. price target reduced to $ num from $ num .,negative
$sap q1 disappoints as #software licenses down. real problem #cloud growth trails $msft $orcl $goog $crm $adbe,negative
"due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",negative
"for the first nine months of num , talvivaara s net loss narrowed to eur num million from eur num million for the same period of num .",positive
"the outsourcing agreement , which covers equipment and depots in turku and tampere , will run for five years , cramo said on thursday .",neutral
"operating profit totaled eur num mn , down from eur num mn in the corresponding period in num .",negative
the transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,neutral
"risto jalo , chief executive of dormus print and also owner of the remainder of the company , will keep his position after the acquisition .",neutral
$cdti bounce here on support or h s setup this area is very important for bulls to not lose,positive
finnish business software group affectogenimap oyj said its net profit halved to num mln euro ( $ num mln ) in the first nine months of num from num mln euro ( $ num mln ) in the same period of num .,negative
"we aim to ensure that vacon is in good shape when capital expenditure starts to pick up again , comments vacon plc president and ceo vesa laisi .",positive
"stockoptionexpert $mat - num %, big trader added num april put contracts num days ago",negative
"tvo s two-unit num , num mw olkiluoto plant generated num twh with an operating ratio across both reactors of num % , which the company described as high by international standards .",neutral
"russia s top container shipping group , fesco , and finnish logistics company nurminen logistics have started a pilot project offering clients direct intermodal transportation service from finland to asia pacific countries , fesco said in a statement .",positive
nokia and elisa will work together to bring a superior mobile gaming experience for elisa customers .,positive
"fortum holds num pct of the share capital and num pct of the voting rights in the company , which it now plans to delist from the warsaw stock exchange .",neutral
"net sales for the financial year num are expected to amount to about eur20m and the operating result ebit is expected to be a loss , as announced before .",negative
nordea s chairman of the board hans dalborg has informed the nomination committee that he will not be up for re-election at the annual general meeting in num .,neutral
"in january-june num , diluted loss per share stood at eur0 . num versus eur0 . num in the first half of num .",negative
$bxs bancorpsouth announces extension of merger agreements with ...,positive
"comparable operating profit totaled eur num mn , down from eur num mn in the corresponding period in num , representing num % of net sales .",negative
efore s results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive
"latin america currently accounts for approximately num % of sales at finnish bss-oss and vas supplier for telecoms operators tecnotree , company president and ceo eero mertano told bnamericas .",neutral
"stx finland oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for viking line to manage on between turku , finland , and stockholm , sweden withviking line abp .",positive
"glaston s own glass processing unit , tamglass glass processing , is a manufacturer of high quality safety glass products , and operates in finland .",neutral
"the value of the contract is about eur1 . num m. poyry , headquartered in vantaa , finland provides consulting and engineering services to the energy , forestry and infrastructure environment sectors .",neutral
"poyry plc additional information by martin kuzaj , president , industry business group , finland tel. num num num num sanna paivaniemi , director , investor relations , poyry plc , finland tel. num num num num poyry is a global consulting and engineering company dedicated to balanced sustainability .",neutral
"the one dark spot on the horizon , however , was the company s performance in the finnish bottled water market .",negative
"yara suomi ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",neutral
"according to the company , a decision in the issue will be made in the summer of num , at the earliest , and in the summer of num , at the latest .",neutral
"sales in finland decreased by num % , and international sales decreased by num % in terms of euros , and by num % in terms of local currencies .",neutral
dmasia- num august num -benefon extends manufacturing capability with asmobile - num digitalmediaasia.com dma ltd. .,positive
earnings per share ( eps ) amounted to a loss of eur0 . num .,negative
"the production capacity can be tripled without any major additional investments , the company said .",positive
"baltic pearl cjsc , a subsidiary of shanghai foreign joint investment company , is developing a project in st petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .",neutral
"harold w. young is an independent broker working closely with several retailers including ahold usa , market basket , cvs , bj s wholesale club , hannaford and cumberland farms .",neutral
the company confirmed its estimate for lower revenue for the whole num than the year-ago eur num million usd num m as given in the interim report on august num .,neutral
"this is a significant milestone for benefon , helping us to secure critical usp s for our personal navigation product roadmap for num and beyond , commented simon button , chief technology officer at benefon .",positive
"operating profit , excluding non-recurring items , totalled eur num mn , down from eur num mn in the corresponding period in num .",negative
"however , the company saw its net profit for the third quarter down to eur num million from eur num million for the corresponding period of num .",negative
"the brokerage said num has seen a true turning point in european steel base prices , with better pricing seen carrying through the second quarter of num .",positive
"in providing managed services , nokia takes responsibility for building , operating and transferring as well as optimising the indosat 3g network .",neutral
these six agreements are the company s first customer acquisitions in india since taking over tvs electronics contract manufacturing facility in jun num .,neutral
small investors have voiced fears that the shares will end up with risk investors .,negative
"jun. num , num ( aol weblogs delivered by newstex ) -- looks like the e71 is about to be upstaged as nokia s ( nyse nok ) premier business-class smartphone -- someone in espoo s just hit the corporate youtube account with this promo video for an e72 .",neutral
"amer sports divests an industrial site in rumilly , france - this announcement is distributed by thomson reuters on behalf of thomson reuters clients .",neutral
viking line head jan kaarstroem told tt that his company s ferries were well equipped to handle ice and that all the passengers were safe .,positive
"at this growth rate , paying off the national debt will be extremely painful .",negative
strand associates is expanding its madison corporate headquarters with space to add about num employees to the engineering firm .,positive
"helsinki thomson financial - shares in cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in april-june profits , which overshadowed the large number of new orders received during the three months .",negative
easyjet leads britain s ftse lower as global bond rout resumes,negative
"the airline estimated that the cancellation of its flights due to the closure of european airspace , and the process of recommencing traffic , have caused a the company a loss of eur20m , including the costs of stranded passengers accommodation .",negative
"tesla voluntary recall of num , num model x vehicles, due to back seat issue. $tsla",negative
"the estonian electronic components factory , elcoteq , is running out of material because of the closure of air traffic .",negative
